Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Continent
Belarus,26.256790000000002,26.23585,26.22052,26.19574,26.17109,26.15062,26.13975,26.119870000000002,26.113770000000002,26.10324,26.08985,26.08236,26.06175,26.03639,25.99374,25.955189999999998,25.933889999999998,25.94835,25.96808,25.98476,26.01919,26.06861,26.12336,26.17534,26.2483,26.33189,26.4391,26.541320000000002,26.641859999999998,Europe
Belgium,24.97542,24.96714,24.96712,24.95523,24.9503,24.94656,24.939970000000002,24.93132,24.94046,24.948710000000002,24.96067,24.97523,25.00061,25.01742,25.039270000000002,25.05283,25.06855,25.08863,25.09721,25.10398,25.11335,25.11409,25.12181,25.13286,25.14166,25.14573,25.146079999999998,25.14489,25.1446,Europe
Belize,25.74834,25.90106,26.04266,26.16195,26.270329999999998,26.359709999999996,26.451179999999997,26.57044,26.691270000000003,26.81911,26.958059999999996,27.10117,27.274520000000003,27.446609999999996,27.60813,27.76957,27.92163,28.07119,28.22288,28.37027,28.53896,28.70468,28.874679999999998,29.049870000000002,29.20535,29.357490000000002,29.5145,29.663009999999996,29.81663,North America
Benin,20.91221,21.0058,21.10264,21.17492,21.27736,21.39033,21.49152,21.56779,21.66026,21.75282,21.85517,21.96279,22.06721,22.16977,22.26976,22.38851,22.50528,22.6109,22.71329,22.8157,22.92684,23.03499,23.14637,23.25775,23.35676,23.46378,23.55687,23.645770000000002,23.74026,Africa
Bermuda,27.41889,27.56359,27.69595,27.84409,27.99515,28.14667,28.295820000000003,28.42786,28.54996,28.66933,28.76908,28.85701,28.970709999999997,29.07338,29.1606,29.259320000000002,29.340759999999996,29.42203,29.503159999999998,29.5513,29.61135,29.681040000000003,29.75882,29.83267,29.900340000000003,29.98439,30.085690000000003,30.199040000000004,30.31529,North America
Bhutan,20.15014,20.22599,20.3042,20.37951,20.45975,20.53194,20.60734,20.70126,20.79601,20.89024,20.98019,21.07234,21.15935,21.24674,21.33922,21.43184,21.52842,21.63177,21.73586,21.840310000000002,21.94715,22.05079,22.16199,22.27938,22.39917,22.511879999999998,22.62443,22.74983,22.88243,Asia
Bolivia,23.55699,23.653470000000002,23.73722,23.806620000000002,23.885,23.97017,24.04975,24.14128,24.24057,24.35376,24.4627,24.58717,24.71801,24.851029999999998,24.98583,25.13645,25.28814,25.44229,25.581229999999998,25.72135,25.86456,26.00137,26.1348,26.26134,26.38387,26.507379999999998,26.625490000000003,26.74182,26.8633,South America
Bosnia and Herzegovina,24.99974,25.05113,25.1064,25.158910000000002,25.20226,25.23745,25.2834,25.31693,25.34825,25.36374,25.36045,25.34059,25.28169,25.205370000000002,25.17425,25.19614,25.28831,25.42644,25.55583,25.68052,25.77713,25.87892,25.96649,26.043110000000002,26.1235,26.19109,26.24752,26.30453,26.35874,Europe
Botswana,23.3474,23.4325,23.51626,23.619,23.71698,23.810129999999997,23.91733,24.03335,24.16157,24.28856,24.4116,24.53063,24.636429999999997,24.722520000000003,24.81281,24.90137,24.981679999999997,25.06994,25.15137,25.23366,25.326,25.41885,25.52204,25.62175,25.71314,25.80588,25.89423,25.99615,26.09156,Africa
Brazil,24.050060000000002,24.11916,24.17848,24.21987,24.26384,24.316689999999998,24.38141,24.44963,24.51057,24.57384,24.62666,24.67793,24.731370000000002,24.77471,24.824089999999998,24.88216,24.92815,24.99343,25.05794,25.12756,25.20224,25.27984,25.36366,25.45842,25.56211,25.66827,25.773329999999998,25.8801,25.99113,South America
British Virgin Islands,24.75055,24.86385,24.97675,25.08982,25.200229999999998,25.30369,25.39595,25.5088,25.62572,25.74278,25.89262,26.07514,26.2893,26.52089,26.770190000000003,27.034470000000002,27.275709999999997,27.506629999999998,27.709979999999998,27.891609999999996,28.06392,28.21347,28.338440000000002,28.42275,28.522070000000003,28.619390000000003,28.7085,28.8125,28.92512,North America
Brunei,22.982979999999998,22.977439999999998,22.97202,22.97755,22.98986,23.004920000000002,22.99933,22.985329999999998,22.98447,22.97231,22.953229999999998,22.91949,22.89418,22.88332,22.90273,22.91464,22.93759,22.96949,22.996029999999998,22.98059,22.95982,22.94578,22.95992,22.97268,22.96874,22.96595,22.92931,22.90645,22.892310000000002,Asia
Bulgaria,25.5342,25.563860000000002,25.59103,25.613889999999998,25.630370000000003,25.64132,25.66027,25.68394,25.70526,25.71329,25.67129,25.60354,25.53536,25.467879999999997,25.40461,25.3588,25.29274,25.23099,25.2093,25.2039,25.212120000000002,25.223110000000002,25.24871,25.288710000000002,25.32824,25.36821,25.41638,25.465870000000002,25.51574,Europe
Burkina Faso,19.38757,19.44603,19.52129,19.583289999999998,19.640179999999997,19.72767,19.84262,19.94732,20.0482,20.13424,20.21868,20.2967,20.376620000000003,20.45956,20.53269,20.598679999999998,20.670189999999998,20.731289999999998,20.79543,20.875120000000003,20.95276,21.02877,21.12089,21.22157,21.31166,21.39208,21.46883,21.54789,21.63031,Africa
Burundi,19.16549,19.25894,19.348129999999998,19.43468,19.53371,19.62296,19.70808,19.792920000000002,19.88693,19.98949,20.07214,20.15831,20.2388,20.30242,20.36048,20.412679999999998,20.447020000000002,20.4911,20.53734,20.60738,20.67194,20.740129999999997,20.81771,20.8969,20.98133,21.056910000000002,21.131120000000003,21.203670000000002,21.27927,Africa
Cambodia,19.55238,19.58032,19.62565,19.68502,19.7497,19.81632,19.88158,19.94868,20.01792,20.07926,20.14142,20.21236,20.282020000000003,20.35037,20.419320000000003,20.49113,20.55375,20.61301,20.67523,20.763579999999997,20.862070000000003,20.97516,21.081970000000002,21.18149,21.27355,21.3799,21.48615,21.59359,21.69608,Asia
Cameroon,21.52202,21.64721,21.78201,21.91054,22.046210000000002,22.18679,22.325960000000002,22.44293,22.54006,22.625729999999997,22.70601,22.77285,22.84369,22.905829999999998,22.97165,23.04433,23.12848,23.23849,23.36805,23.50664,23.66765,23.82855,23.99221,24.15956,24.32915,24.49248,24.647370000000002,24.799120000000002,24.9527,Africa
Canada,24.09921,24.200329999999997,24.298289999999998,24.39552,24.50234,24.613210000000002,24.72117,24.83096,24.93661,25.046,25.14319,25.223670000000002,25.306420000000003,25.39836,25.49248,25.587410000000002,25.68735,25.79637,25.91079,26.01716,26.11965,26.2145,26.29888,26.3795,26.45484,26.519209999999998,26.581870000000002,26.6421,26.698290000000004,North America
Cape Verde,20.76834,20.929170000000003,21.08539,21.26476,21.42395,21.56972,21.697029999999998,21.78503,21.915979999999998,22.04334,22.16677,22.29279,22.426470000000002,22.578879999999998,22.73411,22.88982,23.04963,23.2206,23.37736,23.55057,23.73321,23.89848,24.054029999999997,24.21206,24.36821,24.51781,24.66432,24.813879999999997,24.96136,Africa
Central African Rep.,19.86438,19.94146,20.0128,20.061320000000002,20.10716,20.15377,20.21535,20.27017,20.335820000000002,20.41186,20.49137,20.5693,20.63324,20.69771,20.776220000000002,20.865679999999998,20.94705,21.04252,21.14819,21.26699,21.39235,21.523120000000002,21.65306,21.77313,21.89388,22.01089,22.1374,22.26918,22.40158,Africa
Chad,19.17238,19.19621,19.22638,19.27967,19.3374,19.44676,19.53491,19.60911,19.71453,19.81982,19.90881,20.02533,20.143539999999998,20.22948,20.33359,20.43496,20.533920000000002,20.64782,20.76043,20.87342,20.97976,21.081210000000002,21.18393,21.30248,21.44518,21.58676,21.72089,21.8377,21.95424,Africa
Chile,23.98293,24.14295,24.26083,24.36695,24.476010000000002,24.57872,24.6857,24.797810000000002,24.91001,25.029510000000002,25.16493,25.301070000000003,25.475279999999998,25.65157,25.82232,26.01776,26.2099,26.38454,26.55244,26.70035,26.845740000000003,26.987240000000003,27.13405,27.26867,27.39912,27.53305,27.670009999999998,27.79856,27.92807,South America
