Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Continent
Belarus,24.90898,24.909860000000002,24.91623,24.91568,24.9164,24.92013,24.93057,24.94083,24.966379999999997,24.99085,25.01652,25.05106,25.07413,25.09742,25.10406,25.10237,25.11362,25.14026,25.17221,25.206879999999998,25.254720000000002,25.321479999999998,25.4016,25.48133,25.58449,25.70824,25.8582,26.0111,26.16443,Europe
Belgium,25.09879,25.12474,25.16059,25.18982,25.21949,25.252660000000002,25.285320000000002,25.32356,25.37574,25.429389999999998,25.490289999999998,25.559179999999998,25.64048,25.7062,25.77927,25.84461,25.914820000000002,25.985770000000002,26.05275,26.1224,26.18388,26.24196,26.30602,26.37453,26.446609999999996,26.51575,26.59522,26.675290000000004,26.75915,Europe
Belize,24.54345,24.634179999999997,24.718529999999998,24.764960000000002,24.81656,24.85631,24.902160000000002,24.959970000000002,25.01621,25.08335,25.16254,25.23639,25.34573,25.45261,25.543870000000002,25.64134,25.72576,25.80637,25.88939,25.97705,26.08213,26.19233,26.30847,26.4392,26.56389,26.68025,26.80065,26.90962,27.02255,North America
Benin,20.80754,20.83999,20.88208,20.90821,20.960539999999998,21.007260000000002,21.051370000000002,21.07871,21.12584,21.16916,21.20891,21.25774,21.30311,21.352520000000002,21.402260000000002,21.45576,21.5205,21.58523,21.64874,21.717470000000002,21.7971,21.87272,21.95309,22.0276,22.1039,22.179289999999998,22.253220000000002,22.333660000000002,22.41835,Africa
Bermuda,25.07881,25.19625,25.311629999999997,25.4399,25.56404,25.69903,25.82431,25.94406,26.06962,26.193070000000002,26.30429,26.40672,26.530109999999997,26.65258,26.75763,26.88993,27.01108,27.12503,27.24352,27.344559999999998,27.454759999999997,27.558259999999997,27.664920000000002,27.769990000000004,27.870820000000002,27.98684,28.12057,28.267529999999997,28.418940000000003,North America
Bhutan,21.81929,21.80187,21.78799,21.77328,21.7664,21.75421,21.74839,21.75695,21.766460000000002,21.781,21.7981,21.81922,21.84349,21.870720000000002,21.90149,21.93914,21.98528,22.0365,22.09205,22.14998,22.21076,22.26991,22.33607,22.40769,22.481939999999998,22.55711,22.633000000000003,22.72221,22.8218,Asia
Bolivia,23.00319,23.04351,23.07385,23.08641,23.1075,23.13397,23.16541,23.206570000000003,23.25603,23.30494,23.35095,23.39988,23.45185,23.502660000000002,23.5581,23.61766,23.68542,23.7552,23.81981,23.88573,23.95185,24.01547,24.08033,24.14039,24.200670000000002,24.262620000000002,24.31851,24.37227,24.43335,South America
Bosnia and Herzegovina,25.32025,25.33178,25.35258,25.37304,25.39811,25.42164,25.44097,25.4444,25.43763,25.41851,25.39629,25.34749,25.26577,25.17015,25.09667,25.07033,25.123279999999998,25.22345,25.33549,25.44956,25.57757,25.71444,25.8431,25.97224,26.119310000000002,26.250220000000002,26.372290000000003,26.49206,26.611629999999998,Europe
Botswana,19.54182,19.5797,19.623620000000003,19.66629,19.7227,19.77501,19.82815,19.89551,19.98147,20.078960000000002,20.18715,20.30422,20.41434,20.508229999999998,20.589389999999998,20.66838,20.74696,20.82805,20.90699,20.99408,21.09464,21.1985,21.31605,21.43809,21.56543,21.69989,21.83982,21.986060000000002,22.129839999999998,Africa
Brazil,22.63867,22.72772,22.81802,22.898039999999998,22.9789,23.07389,23.17442,23.27956,23.384520000000002,23.49948,23.602420000000002,23.71304,23.826060000000002,23.92823,24.035239999999998,24.14789,24.25992,24.37651,24.4885,24.60608,24.73196,24.84949,24.97064,25.09147,25.2199,25.34959,25.48902,25.63555,25.78623,South America
British Virgin Islands,23.74249,23.798029999999997,23.85294,23.91227,23.97016,24.023789999999998,24.07072,24.13198,24.20123,24.269370000000002,24.36658,24.49622,24.65423,24.8368,25.04243,25.26959,25.488979999999998,25.701320000000003,25.898120000000002,26.082060000000002,26.26016,26.41788,26.56046,26.66719,26.78915,26.911790000000003,27.03094,27.165779999999998,27.31079,North America
Brunei,23.23982,23.27246,23.30495,23.3387,23.37014,23.39392,23.40646,23.41929,23.44076,23.4571,23.48593,23.50616,23.52962,23.555889999999998,23.61052,23.64776,23.69483,23.75058,23.810589999999998,23.8489,23.87813,23.90486,23.934060000000002,23.9798,24.02261,24.06445,24.098689999999998,24.13907,24.18179,Asia
Bulgaria,25.28913,25.34139,25.39515,25.44814,25.5058,25.55694,25.61303,25.668210000000002,25.72108,25.77352,25.79169,25.78741,25.7869,25.78218,25.77516,25.78474,25.77704,25.76761,25.77903,25.803079999999998,25.842579999999998,25.89594,25.956570000000003,26.03088,26.11251,26.20561,26.308690000000002,26.42397,26.542859999999997,Europe
Burkina Faso,20.03144,20.06225,20.09198,20.11975,20.14327,20.179570000000002,20.223329999999997,20.25441,20.29278,20.3198,20.34378,20.372120000000002,20.403,20.43103,20.46465,20.49193,20.52809,20.56636,20.60729,20.660529999999998,20.70895,20.75999,20.81927,20.88506,20.953570000000003,21.02654,21.105610000000002,21.18575,21.27157,Africa
Burundi,21.088720000000002,21.11359,21.12784,21.13206,21.12775,21.14807,21.17456,21.19978,21.23035,21.245260000000002,21.27423,21.306179999999998,21.33931,21.35314,21.35172,21.34265,21.332279999999997,21.3182,21.30669,21.30712,21.29665,21.30016,21.31762,21.33669,21.361720000000002,21.388379999999998,21.42011,21.45897,21.50291,Africa
Cambodia,19.69966,19.70779,19.7174,19.731939999999998,19.748520000000003,19.77075,19.7942,19.81391,19.83981,19.86195,19.881339999999998,19.90519,19.9375,19.96919,20.003770000000003,20.039270000000002,20.08239,20.12625,20.163510000000002,20.210729999999998,20.25863,20.31227,20.36407,20.42144,20.48485,20.558310000000002,20.63655,20.720570000000002,20.80496,Asia
Cameroon,21.78602,21.862289999999998,21.94666,22.03968,22.118479999999998,22.21209,22.303079999999998,22.35705,22.394029999999997,22.42781,22.4571,22.48289,22.50597,22.53125,22.56063,22.595470000000002,22.63932,22.69765,22.76663,22.8312,22.90632,22.98135,23.07282,23.169179999999997,23.27218,23.375020000000003,23.474439999999998,23.575210000000002,23.681729999999998,Africa
Canada,25.24074,25.33069,25.4102,25.48895,25.57519,25.66346,25.75539,25.85306,25.94492,26.04039,26.1324,26.22243,26.31568,26.406509999999997,26.49979,26.58874,26.67114,26.753459999999997,26.836309999999997,26.916459999999997,26.99336,27.062340000000003,27.125420000000002,27.18538,27.24205,27.295809999999996,27.350179999999998,27.404159999999997,27.4521,North America
Cape Verde,20.65607,20.71493,20.77269,20.84066,20.917379999999998,20.99708,21.07982,21.19,21.30276,21.39508,21.485870000000002,21.57392,21.662020000000002,21.74446,21.83323,21.9515,22.0401,22.134220000000003,22.24215,22.35591,22.47423,22.592670000000002,22.71017,22.83106,22.95363,23.07864,23.22111,23.36939,23.515220000000003,Africa
Central African Rep.,20.958579999999998,20.96244,20.96119,20.942520000000002,20.92022,20.89449,20.87539,20.85032,20.832620000000002,20.82311,20.81775,20.81553,20.80177,20.78856,20.78073,20.78063,20.775389999999998,20.7839,20.796229999999998,20.81486,20.837020000000003,20.861,20.8806,20.88965,20.904529999999998,20.92015,20.940579999999997,20.96435,20.99095,Africa
Chad,20.22551,20.2271,20.2314,20.25014,20.27327,20.31534,20.34928,20.377570000000002,20.41912,20.46667,20.50477,20.54673,20.5876,20.61301,20.6328,20.66849,20.70319,20.74174,20.78687,20.831889999999998,20.86887,20.91294,20.96196,21.02777,21.12698,21.22857,21.32338,21.40464,21.485689999999998,Africa
Chile,24.483620000000002,24.56329,24.624779999999998,24.67812,24.73825,24.79547,24.8453,24.89825,24.96211,25.04196,25.12311,25.21,25.32067,25.43773,25.55295,25.663439999999998,25.77917,25.88624,25.98953,26.081879999999998,26.177410000000002,26.268240000000002,26.36532,26.46749,26.57109,26.67952,26.79366,26.90237,27.015420000000002,South America
China,21.5784,21.583560000000002,21.5955,21.614079999999998,21.643629999999998,21.67833,21.71745,21.7639,21.81317,21.857310000000002,21.90382,21.951929999999997,22.00604,22.0732,22.1511,22.238970000000002,22.313670000000002,22.386999999999997,22.44676,22.49909,22.54068,22.57822,22.61654,22.656370000000003,22.69719,22.74628,22.800420000000003,22.86161,22.92176,Asia
Colombia,22.07035,22.1769,22.26799,22.36244,22.451810000000002,22.54068,22.63499,22.73777,22.84228,22.9499,23.057010000000002,23.16434,23.27852,23.396279999999997,23.51334,23.6395,23.75218,23.862029999999997,23.959789999999998,24.05208,24.14347,24.23406,24.32036,24.408179999999998,24.4994,24.596339999999998,24.70577,24.82307,24.94041,South America
Comoros,20.98163,21.0066,21.04036,21.07561,21.10763,21.142960000000002,21.18685,21.2455,21.303620000000002,21.36185,21.41916,21.47534,21.52733,21.57169,21.60407,21.63794,21.663729999999997,21.685270000000003,21.70443,21.72285,21.740879999999997,21.762729999999998,21.79129,21.826610000000002,21.8694,21.91364,21.9634,22.011979999999998,22.06131,Africa
"Congo, Dem. Rep.",20.74786,20.735870000000002,20.72111,20.70907,20.701420000000002,20.69308,20.68853,20.68344,20.6799,20.673000000000002,20.66681,20.6504,20.61508,20.5555,20.48951,20.40021,20.31166,20.22254,20.14174,20.05896,19.97498,19.89845,19.83696,19.807170000000003,19.789270000000002,19.78781,19.8018,19.8291,19.86692,Africa
"Congo, Rep.",20.63666,20.69499,20.765710000000002,20.83255,20.90094,20.96044,21.00631,21.05228,21.09124,21.12095,21.14711,21.16591,21.186629999999997,21.20412,21.21799,21.23934,21.27222,21.30124,21.33138,21.351589999999998,21.38374,21.42314,21.47048,21.519000000000002,21.574370000000002,21.64382,21.72486,21.795189999999998,21.87134,Africa
Cook Islands,26.2025,26.430640000000004,26.67362,26.908540000000002,27.15532,27.40135,27.63931,27.86856,28.094690000000003,28.31247,28.526059999999998,28.743479999999998,28.9611,29.18297,29.403259999999996,29.61475,29.8242,30.02693,30.23299,30.447190000000003,30.68088,30.92207,31.16078,31.414509999999996,31.669179999999997,31.92132,32.1719,32.4235,32.6744,Oceania
Costa Rica,23.6937,23.76567,23.82701,23.88394,23.947,24.0221,24.09956,24.18361,24.26875,24.370639999999998,24.48617,24.604229999999998,24.734460000000002,24.84882,24.95523,25.0535,25.14893,25.24253,25.339129999999997,25.45658,25.56878,25.679000000000002,25.78377,25.88441,25.989279999999997,26.10699,26.230959999999996,26.3565,26.47897,North America
